epoch,global_iter,BCE_loss,G_GAN,D_GAN
0,1,0.7821598649024963,0.6931455135345459,1.3862940073013306
0,2,0.5851283073425293,0.6931451559066772,1.386293888092041
0,301,0.5752862095832825,0.6931452751159668,1.2017009258270264
0,302,0.6323390007019043,0.6931456327438354,1.3862943649291992
0,601,0.2654898166656494,0.6704148054122925,1.3896896839141846
1,901,0.28197169303894043,0.6895284652709961,1.3868658542633057
1,1201,0.2628156840801239,0.6899720430374146,1.3865267038345337
2,1501,0.12463033199310303,0.6927176117897034,1.386375904083252
2,1801,0.19946777820587158,0.6926907300949097,1.386296272277832
3,2101,0.15786558389663696,0.6927483677864075,1.386352777481079
4,2401,0.1284966766834259,0.6923722624778748,1.386226773262024
4,2701,0.13150019943714142,0.6842759251594543,1.3857178688049316
5,3001,0.13368606567382812,0.5784668326377869,1.468973159790039
5,3301,0.16078606247901917,0.6698490977287292,1.3808343410491943
6,3601,0.15039002895355225,0.687307596206665,1.2453762292861938
6,3901,0.1436142474412918,0.6501287817955017,1.3029212951660156
7,4201,0.14292044937610626,0.693061351776123,1.3863115310668945
8,4501,0.17423094809055328,0.6912533640861511,1.3868741989135742
8,4801,0.1324545294046402,0.6931471228599548,1.3862953186035156
9,5101,0.18083374202251434,0.6931318044662476,1.3862991333007812
9,5401,0.12423177063465118,0.693146288394928,1.386296272277832
10,5701,0.11957328021526337,0.6931343078613281,1.386296272277832
11,6001,0.1231955885887146,0.6930834650993347,1.3862836360931396
11,6301,0.13669611513614655,0.6930294036865234,1.3863015174865723
12,6601,0.09791670739650726,0.6931374669075012,1.3862972259521484
12,6901,0.11082998663187027,0.6931425333023071,1.386293888092041
13,7201,0.13206958770751953,0.6931401491165161,1.386296272277832
13,7501,0.09666404128074646,0.6931376457214355,1.3862946033477783
14,7801,0.1594201773405075,0.6931205987930298,1.3862910270690918
15,8101,0.0676504448056221,0.6931380033493042,1.3862947225570679
15,8401,0.1229088306427002,0.6931474804878235,1.386294960975647
16,8701,0.18320268392562866,0.6931473016738892,1.3862953186035156
16,9001,0.16641446948051453,0.6931413412094116,1.3862955570220947
